iter	Passed	Remaining
0	150	14930
1	152	7468
2	154	4983
3	155	3736
4	157	2985
5	158	2487
6	160	2128
7	161	1861
8	163	1651
9	164	1484
10	166	1344
11	167	1228
12	169	1131
13	170	1047
14	171	973
15	172	907
16	173	849
17	175	798
18	176	751
19	177	709
20	178	671
21	179	636
22	180	604
23	181	574
24	182	547
25	183	521
26	184	498
27	185	476
28	186	456
29	187	437
30	188	419
31	189	402
32	190	386
33	191	371
34	192	356
35	192	342
36	193	329
37	194	317
38	195	305
39	196	294
40	197	283
41	198	273
42	199	263
43	199	254
44	200	245
45	201	236
46	202	228
47	203	220
48	204	213
49	205	205
50	206	198
51	207	191
52	208	185
53	209	178
54	210	172
55	211	166
56	212	160
57	213	154
58	214	149
59	215	143
60	216	138
61	217	133
62	218	128
63	219	123
64	220	118
65	222	114
66	223	109
67	224	105
68	225	101
69	226	97
70	227	92
71	228	88
72	229	84
73	230	80
74	231	77
75	232	73
76	233	69
77	234	66
78	235	62
79	236	59
80	237	55
81	237	52
82	239	48
83	240	45
84	240	42
85	241	39
86	242	36
87	243	33
88	244	30
89	245	27
90	246	24
91	247	21
92	248	18
93	249	15
94	250	13
95	251	10
96	252	7
97	253	5
98	254	2
99	255	0
