iter	Logloss
0	0.6328238837
1	0.5900562907
2	0.5519094998
3	0.5265992779
4	0.5044607355
5	0.4877626426
6	0.4757836315
7	0.4630621231
8	0.455833254
9	0.4508857335
10	0.4452481843
11	0.4408446818
12	0.4352542104
13	0.4316068547
14	0.4297678042
15	0.4272163006
16	0.4249010808
17	0.4233211918
18	0.4216894007
19	0.4199380448
20	0.4183730886
21	0.4167177567
22	0.4155857183
23	0.4144119646
24	0.4135004325
25	0.4127442081
26	0.411863668
27	0.4110956974
28	0.4101583445
29	0.4096340928
30	0.4087941285
31	0.4082230012
32	0.4077962618
33	0.4069920506
34	0.4066269191
35	0.4062529853
36	0.4056854702
37	0.4051888944
38	0.4047169755
39	0.4043754187
40	0.4038829004
41	0.4036083499
42	0.4029854584
43	0.4027673932
44	0.4023493723
45	0.4020737492
46	0.401698434
47	0.4015380227
48	0.4011351562
49	0.4009085402
50	0.4005082789
51	0.4002107828
52	0.3998865151
53	0.3996775656
54	0.3994278804
55	0.3992552145
56	0.3990777726
57	0.3987960488
58	0.3985925583
59	0.3982579884
60	0.3980099618
61	0.3979083428
62	0.3976837049
63	0.3974611072
64	0.3972391376
65	0.3970605837
66	0.3966059414
67	0.3964603324
68	0.3963385825
69	0.3960850518
70	0.3959296868
71	0.3957218973
72	0.3952999537
73	0.3951615074
74	0.3949498265
75	0.3947917603
76	0.3945585511
77	0.3943917044
78	0.394221523
79	0.3939577252
80	0.3937906842
81	0.3935786803
82	0.3932401609
83	0.3929085974
84	0.3928225923
85	0.3924850072
86	0.3922422755
87	0.3919700157
88	0.3917023717
89	0.391471699
90	0.3908736823
91	0.3906075126
92	0.3903946543
93	0.3902090249
94	0.3899433394
95	0.3894412047
96	0.3891967489
97	0.3889900691
98	0.3887531395
99	0.3886064796
